Index,X1,X2,X3,X4,X5,Y
1,-0.362948,-1.320339,2.871917,-2.414415,-0.216239,?
2,0.25717,0.749144,1.935534,0.403116,-0.261486,?
3,0.674156,0.171398,1.49777,-0.324638,0.032498,?
4,-0.341077,0.555523,1.303567,-0.167549,1.121396,?
5,-0.8284,2.110397,1.49737,0.984645,-0.10747,?
6,-0.651267,-0.054885,0.845191,-0.345409,1.497724,?
7,0.08387,0.307371,2.300482,0.751356,0.153433,?
8,1.033904,-0.61162,1.49575,0.375362,1.293392,?
9,-2.340981,1.790014,-0.348976,-0.964003,-1.82235,?
10,0.588749,1.771799,1.668662,1.349325,1.412431,?
11,-1.142837,0.88779,0.297794,1.62964,1.556407,?
12,-1.059277,-0.054357,-0.195206,-1.031751,1.589634,?
13,-0.706954,0.886287,2.387271,0.606556,0.499425,?
14,-2.086867,1.396238,1.159494,-1.488004,0.59263,?
15,2.265139,-0.935291,0.797565,-1.320968,2.73782,?
16,-1.806587,0.37436,-0.482409,0.345701,-1.72481,?
17,0.505116,2.434277,-0.499092,0.193808,0.442737,?
18,-1.360997,0.925551,0.087553,-0.456284,1.172546,?
19,0.224673,1.193823,0.410915,0.982009,1.073841,?
20,-0.050109,0.930265,0.140427,-0.993723,0.787261,?
21,-1.296259,0.45551,-0.208792,1.378564,-1.416453,?
22,0.734047,0.149688,-0.856398,1.645968,0.893563,?
23,0.222277,1.591858,-0.12085,0.777818,0.389273,?
24,-1.492502,0.910501,0.75281,1.375638,2.292529,?
25,-0.234396,0.312678,3.08756,0.689681,0.929636,?
26,0.025913,-2.754618,-0.431257,-0.444014,1.527164,?
27,1.321532,0.485978,-1.60559,0.366599,0.731069,?
28,1.794194,0.065494,-1.422292,0.222089,1.415337,?
29,0.040416,0.695895,1.615455,0.52377,-0.907841,?
30,0.763949,0.218014,-1.60771,-1.124511,0.740698,?
31,-1.141204,1.603127,-0.936269,2.227525,1.344113,?
32,-0.565552,0.205915,2.096662,0.70218,-0.194128,?
33,0.183236,1.070531,-0.147742,0.061054,0.668586,?
34,-1.027793,0.191104,0.146391,1.030889,-1.247546,?
35,-0.881545,-0.880587,1.655626,-1.263261,1.000922,?
36,-0.50563,0.629946,1.376118,-0.079087,-1.026075,?
37,-0.484307,0.060139,1.698237,-0.959752,-0.550531,?
38,-2.340043,0.814186,1.439292,0.172442,0.507958,?
39,-1.319589,-0.01094,-0.346787,-0.051698,1.34441,?
40,-2.81751,-0.073953,0.546189,0.403775,1.591987,?
41,-0.460822,0.184606,-0.871142,-0.06017,1.249753,?
42,0.60546,-2.406866,-1.844453,-0.058657,0.055836,?
43,-0.132857,-2.514744,-0.314935,0.654662,3.536774,?
44,-0.158492,0.02134,-0.686117,-2.10873,0.963236,?
45,0.557756,1.605887,-2.06549,-0.665121,-0.377226,?
46,2.210761,-1.300073,-1.608116,0.187557,1.631087,?
47,-0.593512,0.539357,-1.275843,-0.787789,1.034465,?
48,-1.212744,-0.326355,-0.176702,2.021979,-1.858227,?
49,-1.244332,1.616456,-1.691089,0.071401,2.241598,?
50,-0.343157,0.647979,1.632386,-0.68914,-0.549327,?
51,-0.815567,-0.474686,0.777609,-1.092914,-1.133209,?
52,-0.897925,0.35948,1.188073,0.722738,-0.595804,?
