Index,X1,X2,X3,X4,X5,Y
1,-1.608052,-0.377992,1.204209,1.313808,1.218265,1
2,0.393766,0.630685,-1.222062,0.090558,0.015893,0
3,-0.466243,0.276972,2.519047,0.673745,0.16729,1
4,1.47121,-0.046791,-0.303291,-0.365437,1.989287,0
5,-1.672906,1.25588,-0.355706,0.123143,-2.241941,1
6,1.138552,-0.310863,-0.192791,-0.890845,1.392433,0
7,-1.590384,-0.192225,1.135091,-0.8037,1.446731,1
8,-1.573289,-0.538242,2.115286,-0.787841,-0.0603,1
9,-0.620147,-1.630385,0.924733,1.425648,1.481262,1
10,1.848534,1.342264,-0.696856,0.913789,1.279234,0
11,1.85219,0.765886,0.216955,1.874085,2.155067,0
12,-0.381536,0.172155,1.906214,1.550442,0.364749,1
13,-0.025468,0.491669,1.608414,1.528501,0.722901,1
14,-1.520216,-0.325991,-3.13569,-0.27962,2.132271,0
15,-0.08641,0.82497,-1.107161,-1.855985,-0.340249,0
16,0.906603,1.718749,-0.735719,0.387933,0.945402,0
17,0.582131,1.864426,0.041219,0.765081,0.942097,0
18,1.769828,1.286043,-0.795286,-0.852005,2.276061,0
19,1.268888,-0.630168,-1.522955,1.791135,0.657864,0
20,-0.900334,-0.284425,-0.420752,-0.519598,-0.3077,0
21,-1.364019,2.279342,0.728097,1.612174,-1.164132,1
22,-1.465863,0.170372,0.434468,-0.623268,-0.789442,1
23,2.056239,0.600745,-2.021847,0.872487,1.291443,0
24,-1.070437,-1.267627,-0.391396,-1.349636,0.363841,0
25,0.358876,-0.727673,2.822483,1.628742,0.440845,1
26,1.101963,0.151094,-0.924389,-0.105533,0.607268,0
27,-0.132865,0.436655,1.20666,-0.119,1.55743,1
28,-1.165269,-0.515762,1.117209,0.902941,-0.431395,1
29,1.31876,-1.34117,-0.796376,0.778001,1.168214,0
30,-1.055451,-1.66766,-0.109319,0.478087,-1.88604,1
31,1.29646,-1.495413,0.323989,0.172886,2.317758,0
32,2.542161,2.720406,0.293086,0.325436,3.086316,0
33,-1.529517,0.278255,0.968075,0.667714,-1.271581,1
34,-0.896113,0.751578,-1.724289,-0.854127,1.783739,0
35,1.374392,1.168427,-0.949725,-0.665818,1.11053,0
36,-0.573317,0.505243,-0.295381,-0.082279,3.179678,1
37,-1.506955,0.166839,-2.652659,-0.526317,3.062752,0
38,-2.267789,0.830897,1.527835,0.250291,1.110293,1
39,-0.241333,1.024184,-0.855416,-1.926725,1.850008,0
40,1.076631,-0.930368,-0.124135,-0.326847,1.214663,0
41,-0.783085,1.070129,1.309631,-0.338717,1.333095,1
42,-0.438572,-0.07466,1.823971,0.278628,0.031006,1
43,-0.948192,-0.708747,-0.999169,-0.06946,-0.701539,0
44,2.05639,-0.230479,0.65899,1.384502,3.068295,0
45,0.000788,1.874895,2.739682,1.778676,0.638976,1
46,-0.223919,0.533791,-2.237487,1.815109,1.628448,0
47,-1.362542,1.185579,0.05318,2.332925,1.445067,0
48,-0.994495,0.667622,-0.286533,0.020062,1.722939,0
49,-2.301098,1.333315,1.129122,0.027705,1.814565,1
50,1.610334,1.038426,-2.405923,0.351812,0.682881,0
51,0.535606,0.92048,1.01954,0.32864,1.717192,1
52,0.443853,0.628099,2.221139,0.079106,-0.452736,1
53,-0.452067,-0.577412,0.674464,0.67163,1.693643,1
54,0.757543,0.918147,0.925626,1.537422,0.080412,0
55,1.716707,0.645264,1.703594,-0.978542,-0.401035,0
56,-1.359275,0.987852,-0.900581,0.727555,1.677862,0
57,-1.212966,0.018559,-2.447887,-0.179776,1.766348,0
58,-0.173165,-0.683893,-0.01065,-1.821664,1.037573,0
59,-0.883482,-0.463988,1.551722,0.865672,-0.708855,1
60,0.920598,-0.145468,1.450564,0.594593,1.725746,1
61,1.298176,0.136064,3.573003,1.046221,0.324021,1
62,-1.707656,1.102312,-0.036673,0.029471,-1.625349,1
63,1.655834,1.839802,1.097683,-0.437663,2.85978,0
64,0.565149,0.381194,-0.658621,0.168079,0.619766,0
65,-1.327062,0.557176,-0.242231,1.582237,-1.721984,1
66,-1.356201,-0.251591,-1.041583,0.273268,1.905278,0
67,0.927625,-0.922777,3.072159,0.144185,-0.477732,1
68,-0.808326,0.501562,2.292328,0.586364,0.339666,1
69,0.615367,-1.097221,1.084184,-0.294053,1.668476,1
70,0.180079,-1.710766,1.723761,-0.389815,-0.290857,1
71,-2.011231,-0.621162,0.309814,1.885252,-1.342953,1
72,-0.026456,1.716948,-1.407801,1.945509,0.094496,0
73,-0.434626,0.550889,1.950755,-0.852602,0.040025,1
74,0.05932,0.370623,-0.796288,-0.338522,0.770534,0
75,-0.453656,0.582476,1.657992,-1.00411,0.149571,1
76,0.129199,0.724524,2.656925,-0.438408,0.489929,1
77,0.69094,-0.541483,0.067726,0.032128,0.040432,0
78,-1.458292,-0.001414,1.963646,-0.402236,0.375543,1
79,0.933689,0.440112,0.807613,-1.01421,2.246166,1
80,-0.69515,1.405645,1.950603,-0.832157,0.339046,1
81,-2.341454,-0.232903,-1.934643,0.525565,-3.163965,1
82,-0.043218,1.619025,1.041465,1.315863,1.34583,1
83,-0.335008,0.783564,-1.175695,-1.126169,1.785885,0
84,0.753108,-0.026003,0.134773,0.012706,1.328203,0
85,-1.509796,-0.793542,-0.948811,-0.785647,0.976527,0
86,0.246379,0.051201,3.510288,0.399269,0.599605,1
87,-1.4675,2.643933,-0.006717,0.479659,2.091427,1
88,1.12596,-0.471106,-1.542537,-0.476935,0.904142,0
89,1.949758,0.433945,-1.868317,1.157302,1.27048,0
90,1.730028,2.067423,-0.736445,0.444731,1.382698,0
91,-1.389664,0.426532,-1.701228,0.843361,1.103412,0
92,-1.314171,-1.328381,-2.634973,1.721139,2.025099,0
93,-0.778284,-0.721905,1.285303,-0.509117,-0.260064,1
94,0.571034,-0.080951,1.726771,1.170176,0.170737,0
95,-0.589442,-0.141156,1.770717,1.333132,0.539693,1
96,1.562983,-0.599209,0.514208,0.737683,2.070129,0
97,-1.234413,1.053793,0.131306,0.593372,1.389937,0
98,0.626326,-1.245786,1.350973,-2.627223,1.547831,1
99,-0.770781,0.602787,-0.555278,-1.397452,1.380693,0
100,1.163624,-0.925571,-0.711664,-0.536931,4.236189,1
101,-0.32916,-0.055397,2.195096,-0.53994,0.267598,1
102,0.214668,0.400683,0.126872,0.852809,1.102671,0
103,0.943099,1.155481,-0.326025,1.436798,1.575722,0
104,0.52497,1.333247,-0.776934,0.270813,0.590584,0
105,2.525178,1.630271,-0.523993,0.562364,2.240823,0
106,-2.022277,-0.753289,0.172251,0.47466,2.521935,1
107,-0.353412,1.713007,1.917696,0.453095,0.214124,1
108,-0.78457,0.341792,0.929445,-1.290748,-1.402439,1
109,-1.10048,1.094023,-0.564001,0.724194,2.210681,1
110,-0.007707,-0.143696,-0.162604,-0.223547,0.442889,0
111,0.292937,0.988164,1.899877,-0.327452,0.638409,1
112,-0.693752,0.29342,1.460962,0.853333,-0.882964,1
113,1.707569,1.189916,-1.013793,2.100582,2.057737,0
114,-0.322627,0.035262,-0.238285,0.001467,1.620525,0
115,1.416736,-0.750607,1.158592,-1.767251,0.063547,0
